CC.Line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
CC027cs,0.002392062,-0.093441377,-0.362868162,0.017432306,-0.121495067,-0.012701996,-0.131673495,-0.0063071,0.057847321,0.094598113,0.122180091,0.002907887,0.08911831,-0.089345399,0.000375966,0.133825293,-0.094962101,-0.134565062,0.064743752,0.020943656,0.028076043,-0.313422231,0.004741888,0.169785124,-0.139012556,-0.019416806,0.057382384,0.18558283,-0.236040733,0.11926422,-0.04598119,-0.194000274,0.009877256,0.032689481,-0.210923834,0.177911514,0.168841107,-0.179140987,-0.224277545,0.002950301,-0.09034074,0.140487464,0.220414894,0.105428274,-0.060258433,-0.093623219,-0.069409589,-0.22045383,0.173786737,-0.098971256,-0.036839549,-0.076221573,-0.131210566,-0.044107164,-0.123461216,-0.087558863,0.033388094,0.007327046,0.084494813
CC028cs,0.107370035,-0.11532703,0.053945112,-0.01267247,0.11900663,-0.046721079,0.043967584,0.08642758,0.187027467,-0.088549222,0.015514561,-0.047310259,0.069018731,-0.056093239,-0.037052385,0.091763702,-0.033906228,0.117320283,0.278176634,0.148790989,0.446178266,0.07371816,0.22747368,-0.021030418,0.120165641,0.114086251,0.283372701,-0.096819461,0.10238957,-0.020725261,0.384213603,-0.104095793,-0.145962756,0.233278787,-0.13775129,0.065813483,-0.004983464,0.012553784,-0.003895802,-0.147132725,0.042063754,-0.051096262,0.035187307,-0.060757954,-0.151443625,0.043656879,-0.025806362,0.007731099,-0.014370608,-0.114989991,-0.008092451,0.108743725,0.08007519,0.065846748,-0.052823224,-0.103130351,0.123391585,0.061881661,0.037660177
CC031cs,0.14115209,0.077465127,0.005355772,0.139915386,0.019960185,-0.118615899,0.034823692,0.134401235,-0.057846589,0.201923672,0.064657863,-0.054236355,-0.090824473,0.071286938,-0.029993275,-0.088195009,-0.129630437,-0.231231546,-0.058731982,0.033032968,0.003058401,0.024894267,-0.187141804,-0.055998289,-0.026698402,-0.171293377,0.174853902,-0.004155221,0.185608354,-0.043840873,-0.088539686,0.297339957,-0.321969105,0.200903922,-0.202376941,-0.020131795,-0.143810445,-0.057044786,0.043761558,-0.186273211,-0.058341812,0.333891877,0.015342841,-0.105364665,0.061153897,-0.176362868,-0.10239837,0.130558908,0.192389459,-0.022806147,-0.08058568,-0.061929524,-0.015966389,-0.044833765,0.210927617,-0.097785622,-0.015140929,-0.001177411,-0.040745848
CC032cs,0.07203391,0.195069004,-0.179902624,-0.084259617,0.152823794,-0.012965508,-0.260373382,-0.060786269,0.144203352,-0.19882966,0.04333087,-0.145884842,-0.041901039,0.070276248,0.028174139,-0.142251066,-0.116240837,-0.12862779,0.008502306,0.032060541,-0.115783835,-0.034290886,0.161562744,0.03615714,-0.046835972,0.015401658,-0.277941906,-0.117244838,0.147760356,-0.150655121,0.159090599,-0.026101895,0.08276884,0.153249498,-0.107707188,-0.029885691,-0.230081099,0.130807699,0.016805933,-0.060043429,-0.083799426,-0.185398964,0.140575915,0.032097485,0.094114776,-0.142369492,-0.407505102,-0.095070742,-0.016228231,0.206144782,0.048491397,-0.051214984,-0.034857383,-0.102608783,-0.055839518,0.088567047,0.07266477,-0.116534312,-0.038652193
CC033cs,-0.114544273,-0.034723195,0.066172789,-0.10966977,-0.118483439,-0.185680515,0.066735911,0.0846915,-0.24844007,0.014826468,0.08300277,0.119474955,0.037254039,0.069902072,-0.208090871,-0.086485888,-0.174493736,0.195679864,-0.38515394,-0.058932077,-0.03278758,-0.083984061,0.153546309,0.067925865,0.058433124,-0.020105442,-0.27665724,0.087783353,-0.003515671,-0.02918204,0.226657076,0.052626933,-0.012031602,0.039172497,-0.445455943,-0.124649962,0.13466758,-0.01738312,0.046202953,-0.121883367,-0.154581203,-0.102085711,-0.009067877,-0.004724111,-0.029793543,0.144653438,0.124940579,0.014840317,0.000550522,-0.066348856,-0.072370787,0.011920947,0.10963421,0.008147396,0.005107995,-0.041244971,0.147646334,-0.012036271,-0.018432714
CC034cs,0.130059363,-0.147512983,-0.077799943,0.145453686,0.036653038,-0.026690241,-0.050914962,-0.03188028,-0.127897877,-0.167380983,0.138538324,0.142718252,0.231426161,0.135847478,0.059194312,-0.161244463,0.201502146,0.043578327,-0.041411051,0.055057941,-0.103688724,-0.196561163,0.19884862,-0.214217205,-0.008367125,-0.289378307,0.138900149,-0.071351796,0.167678175,0.233914741,-0.160728824,-7.98E-05,0.238854446,0.227645461,-0.017095891,0.160653072,-0.170009935,-0.043360791,0.082049695,0.046297741,-0.012777824,-0.085842841,0.012087773,0.154324024,0.114625108,0.013637633,0.111886091,0.030650003,-0.130747919,-0.068166266,-0.047800163,0.111242422,-0.072131737,0.047117716,0.140906452,-0.116539431,0.152232413,0.074299093,0.072146469
CC035cs,-0.013425505,-0.086316863,-0.031570377,-0.055221376,-0.007504706,-0.140700716,-0.246154007,0.152632808,-0.033578227,-0.10331886,-0.035656268,0.080312717,0.216137315,0.215295964,0.503765781,0.153870129,-0.104871046,-0.068915511,-0.022369547,0.278445694,0.008293295,0.106889265,-0.099805958,0.070972532,0.025441287,-0.047987711,-0.087081628,0.19479839,0.158158269,0.023737284,0.060981643,-0.078244459,-0.145467444,-0.294383568,-0.034534244,0.135125617,0.046241841,-0.00449145,0.252868774,-0.042829781,0.06450852,-0.027805378,0.121711145,-0.037877257,-0.002836174,0.053249537,0.097351579,0.080154545,-0.002231221,0.103614264,0.061223376,-0.115381729,0.098198493,0.08824005,0.059014048,-0.04569684,-0.036675683,-0.033334703,0.044354221
CC037cs,0.149523922,0.001266414,-0.057167259,0.129137611,-0.115153901,0.062252258,-0.115799787,0.045098939,-0.02154013,0.139236561,0.23731808,0.069926498,0.148238616,-0.031169612,0.134401502,-0.048342286,0.159385956,-0.024853637,-0.23285128,0.037996195,0.147058673,-0.252803321,-0.073478977,-0.264993801,-0.01697201,-0.021989097,-0.068893731,-0.286844444,-0.090270368,-0.111341961,-0.021768964,-0.066425668,-0.065105817,0.059110857,0.206112246,-0.073231347,0.133261404,-0.005086951,-0.082191052,-0.199091234,0.030902369,-0.165527029,0.033343748,-0.352165438,-0.18436107,0.073263472,-0.043336123,0.083262804,0.014850649,-0.008747786,-0.071712332,-0.128575751,0.172158469,-0.08809796,-0.158093981,0.105129426,-0.085195736,-0.133749781,-0.051624846
CC038cs,-0.096129832,-0.030346324,-0.043776862,-0.050796831,-0.062708649,-0.205951002,0.167366173,-0.08621258,0.026496811,0.12572044,0.086307811,0.134907909,0.024861136,0.31247316,0.062539479,0.241228841,0.123371006,0.075444849,0.224394956,0.223516335,-0.288074488,0.060769641,-0.120365168,-0.224644953,0.176841938,0.223222784,-0.159897599,0.07731435,-0.123076126,0.056357745,0.019625282,-0.096223982,-0.069185815,0.354185285,0.08635566,-0.138158267,0.064184267,0.055208734,-0.106175478,-0.070164953,-0.187560502,0.088963705,-0.104260988,0.066365342,0.010435481,-0.04703552,-0.103277564,0.043637837,-0.078430704,0.018860378,0.08354358,-0.011986706,-0.008473489,-0.080050476,0.017218557,-0.02745065,0.075190776,-0.06544515,0.055318401
CC039cs,0.085149209,0.290627056,0.095651014,-0.048357499,0.032748662,-0.074801268,0.034894413,-0.036164218,-0.19914603,0.079077255,0.080599182,0.00148959,-0.036742178,-0.085927326,0.043253104,0.035759563,0.083312934,-0.047781238,0.022443897,-0.009787737,0.191725703,0.004125681,-0.022618838,0.007244865,-0.169939546,0.123361136,0.064709126,0.003043809,-0.10381037,0.199258824,0.141322913,-0.113185936,0.159323498,-0.04643213,-0.072911216,0.033848257,-0.120716136,0.080897373,-0.081802901,0.04161047,0.152784287,0.008815092,-0.070421574,0.067017745,0.065877027,-0.035773326,0.119778722,-0.032332831,-0.077616188,0.098640617,0.084201524,-0.362683506,0.22641665,-0.403889805,0.302235222,-0.130835217,0.137377454,-0.116486248,0.132228113
CC040cs,-0.261696074,-0.05949444,-0.038423274,-0.030566495,0.093195432,-0.200782386,-0.056371704,-0.009288889,0.078326636,0.139664776,-0.015048755,0.020762696,-0.023429264,-0.187712337,0.01204306,-0.049418839,-0.010582435,0.040585018,-0.311193016,0.107624244,-0.053913276,0.172309037,-0.066539919,-0.053970314,-0.060066163,-0.101791468,0.010448551,-0.106047795,-0.015308986,0.015910111,0.087906787,0.061893361,-0.003379259,0.022648983,0.133422318,0.255148418,-0.065412078,0.075662809,-0.154220084,0.146844429,0.01602702,-0.092095427,-0.156698357,-0.085256818,-0.174673473,-0.090714315,-0.15273879,-0.035136507,0.203616551,-0.084436006,0.214184637,0.053280578,-0.010823817,0.188214478,0.093727144,-0.006821947,0.19005706,-0.0382282,0.446360759
CC041cs,-0.207528305,-0.066778768,-0.007334167,-0.149827972,0.170614613,-0.221928556,-0.112552598,-0.012667049,0.099306156,0.054721101,0.049612384,0.006604672,-0.149666708,-0.207782496,0.013272445,-0.059361164,0.037907101,0.147699694,0.045756618,0.220879612,-0.068857921,-0.143097816,-0.052549307,0.085663427,0.05488425,-0.012207721,0.155416816,-0.040507435,0.147640609,-0.118322263,-0.118833507,-0.061013327,0.193003048,0.05298051,0.012180634,-0.180063021,-0.150303261,-0.179283143,0.00713063,-0.245605725,0.019530677,0.150549763,-0.005949661,-0.053692487,0.167591094,0.282134054,0.221253588,-0.114702356,0.130128243,0.270297979,-0.127905673,0.015023985,0.035930258,-0.109571005,-0.118558557,0.070953013,-0.08652528,-0.021048404,0.178052393
CC042cs,-0.308423741,0.011605432,-0.032260404,-0.062699236,0.061739916,-0.011056777,-0.022247512,-0.040667944,0.038685069,0.09152977,0.095357648,0.070244109,-0.048414847,-0.18055288,0.114385331,0.04616155,-0.088783987,0.091759797,-0.115879087,0.197598422,0.000676289,0.033931705,0.081040338,0.089534302,-0.142763689,-0.068938454,0.076776583,-0.054923725,-0.000882192,-0.012233273,0.007057465,-0.008096828,0.067065569,0.161485664,0.182785662,0.135989589,0.015582994,0.092674559,0.07172288,0.085885444,-0.132695555,0.124309261,0.145846745,0.130153304,-0.14978641,-0.018450241,0.028312475,0.110694922,0.00318698,-0.074308286,-0.005771293,0.006064208,0.11147567,-0.126412724,0.148759932,0.138707876,0.125772107,0.083677228,-0.625835314
CC043cs,0.152315719,0.025303881,-0.095909634,-0.060811514,0.11006756,-0.221875075,0.131836736,0.047648451,0.004426414,0.209118167,-0.184803972,-0.025820076,0.236405238,-0.06500647,-0.233171933,0.164499041,-0.243128729,0.011790572,-0.162576201,0.080462896,0.002988292,0.111922963,0.024372857,-0.060944574,-0.012330522,-0.17475993,0.225037588,-0.040593795,0.101623065,0.098886932,-0.074401445,-0.099132515,-0.104837025,-0.110623135,0.147699723,-0.055970359,0.011446018,-0.06733914,-0.100033999,-0.054807337,-0.153074338,-0.311083856,0.000418423,0.223468372,0.221019817,-0.039259556,-0.057748518,0.096767246,-0.142908717,0.044274773,0.081407743,-0.147166488,-0.010108837,-0.103794547,-0.238692919,0.001540121,-0.109875886,-0.013205514,-0.069657648
CC044cs,0.113697479,-0.038664356,-0.106280799,-0.048601761,-0.184281333,0.070540198,-0.04956929,0.165988757,-0.025798142,0.043256461,0.374279122,0.060561289,0.102855644,-0.144981333,0.02102464,0.081086554,0.120845379,0.166279562,0.019716196,0.04568837,-0.268988453,0.241206491,0.264769291,0.182144675,0.096024816,0.073409647,0.152725095,-0.313260611,-0.073439548,-0.014862007,-0.091044158,0.127706471,-0.188486879,-0.212681258,-0.14283005,-0.133860341,-0.031598701,0.027581063,-0.138468133,-0.027714338,0.113497391,0.065262247,0.029954761,0.095446217,-0.033501328,-0.030662879,-0.060178448,-0.076618239,-0.108781852,0.184777914,0.112740627,-0.019692672,-0.044060084,0.062989196,0.136924922,0.058797092,0.004146437,0.080969677,0.001557163
CC045cs,0.019476693,-0.143054446,-0.231909637,0.035245824,-0.035587998,0.126551118,0.166707706,0.305209642,0.03297328,0.152271278,0.114857105,-0.050306894,-0.105550049,-0.071481065,-0.159002593,0.110240036,0.028249869,-0.197325292,0.072156261,0.075219155,-0.072045437,-0.106053642,-0.098397017,0.033632659,-0.266165542,-0.058023981,-0.124419078,0.259824535,0.100760567,0.063023734,0.142165876,-0.158164741,0.032796824,-0.032083056,0.062290576,-0.177638637,-0.333078186,-0.007941592,-0.01713563,-0.042535755,0.03158333,-0.180714965,-0.112614205,-0.092845276,-0.13084015,0.127229789,0.004148531,0.027696756,-0.157708606,0.068100631,0.043058637,0.136061298,0.137219112,0.187325389,0.188669052,0.047323416,-0.001262359,0.120497092,-0.04441071
CC046cs,0.146700563,-0.041826765,-0.211490267,0.078450477,-0.123937171,-0.171304089,-0.05666206,-0.016527353,0.153260047,0.073942526,0.240248529,-0.211132639,-0.144047401,-0.020936453,-0.034314342,-0.177694354,0.076454743,0.264372337,-0.043261867,-0.021711679,0.036341789,0.057193018,0.077614528,0.092160421,0.183111423,-0.12687669,-0.039419597,0.263693943,-0.091079887,-0.073237816,0.093692571,-0.130711096,-0.11023964,-0.041411021,0.156892905,0.062546657,-0.01884909,-0.048361794,0.209086373,0.259075621,0.047724633,0.03971537,-0.214185951,-0.196008519,0.1710239,0.040401579,-0.035234227,0.173844495,-0.020468683,0.005499363,-0.014570545,-0.080740981,-0.173400194,-0.194736987,-0.066105979,-0.178818313,0.097568273,0.023691801,-0.083762807
CC047cs,-0.135294875,-0.114478705,0.081831992,-0.200103914,0.062445993,-0.093099416,0.093821579,0.113028973,-0.012894044,-0.038584424,0.243460452,-0.038825587,0.087212327,0.011900496,-0.039044646,0.003770895,0.318728644,-0.103697703,-0.015991018,-0.154179049,0.315171321,-0.027073773,-0.14386513,0.201987129,-0.130287143,0.032468883,-0.039961176,0.009120845,0.049793382,0.079349599,-0.07494421,0.258705943,-0.093840599,-0.021376064,0.192949618,-0.057117937,0.054856358,0.075160122,0.255977155,-0.040527495,-0.342385859,-0.030805069,0.103500133,0.119548007,-0.072509357,0.003953504,-0.120268484,-0.120816975,-0.146103102,0.121514264,-0.034231826,-0.039612014,-0.166151412,-0.060757288,-0.096771974,-0.084803182,0.109313522,0.00657139,0.123409117
CC051cs,0.003361148,-0.030654082,0.110981981,0.176232985,0.140087957,0.236359002,-0.039707167,-0.094380505,0.052093396,0.382176441,0.196990983,0.085152586,0.143926099,0.10671756,0.113931516,0.035887941,-0.069718988,-0.026362775,-0.097957751,0.014761855,0.007658629,-0.064429836,-0.026977913,0.083695577,0.131592339,0.245327258,0.104589906,0.002304124,0.063181569,-0.230644047,0.177468588,-0.016961975,0.179525466,-0.128799141,-0.090763328,0.005496648,-0.282216649,-0.03386177,0.139164807,0.081978691,-0.224198421,0.003474912,-0.154504221,0.104811103,0.062067455,-0.134898361,0.089848163,-0.063743713,-0.050444454,-0.239799918,-0.059877301,-0.111996498,-0.139632079,0.020931989,-0.073619367,0.178506275,-0.0220368,0.020514348,0.078606642
CC056cs,0.027021307,-0.052319844,0.12838426,-0.184472988,-0.005304748,0.0887063,0.01589706,-0.060139787,0.044035463,-0.041273531,-0.028425677,0.483678494,0.020151421,-0.27905705,0.037499397,-0.013785769,0.000660121,-0.064646317,0.143310195,-0.169329784,-0.04662768,0.192480902,0.040313485,-0.065962309,-0.066217721,-0.323187513,-0.161741368,-0.029653513,-0.024856717,-0.010339848,0.034092297,-0.334800031,-0.219736134,0.053521932,-0.037740039,-0.048465723,-0.110575731,-0.109865474,0.157364163,-0.011513168,-0.111849544,0.060385938,-0.088748904,-0.139856352,0.001680928,-0.256027025,0.069744206,-0.109064133,-0.008296121,0.008257732,-0.111878597,-0.06144113,-0.039538647,-0.090489294,-0.057944048,0.060567394,0.039626835,0.018305329,0.049079334
CC057cs,0.009845775,-0.151908344,0.067159807,-0.212178023,0.019693339,0.06081293,-0.022991331,0.074167329,0.095098373,-0.095662758,0.255637244,-0.073988384,-0.088024561,0.082264528,-0.000820694,0.269329037,0.053863268,-0.092864637,-0.257556032,-0.341734583,-0.019298168,0.101792413,0.081021231,-0.22326623,-0.002104241,0.134354073,0.110179937,0.175971596,0.315543522,0.047961766,-0.070617949,-0.132913035,0.040808312,0.119956512,-0.025805239,0.046256481,0.087501615,-0.079426835,0.029699386,-0.061781464,0.207256866,0.000378723,-0.104914159,0.054470597,0.05035204,0.000363245,0.015070886,-0.103479878,0.265837543,-0.035882357,0.239626424,-0.030152747,-0.050414045,-0.083114854,-0.028019452,0.132781238,-0.024043477,-0.10055317,-0.129882942
CC059cs,0.089927775,-0.081055596,-0.067326991,0.236562317,-0.00368278,-0.17901356,0.00140253,0.015600489,0.076609624,-0.094141029,0.239035761,0.177431405,-0.071950158,-0.125126761,-0.065897808,-0.314751196,-0.243557846,-0.197386282,0.025254193,0.019363309,-0.042066823,0.422118099,-0.040552669,-0.215167608,-0.084843898,0.239362559,0.072467491,0.184912129,-0.159937314,0.030333172,0.014076055,0.089990353,0.228806001,0.002587789,0.064506008,-0.019415513,0.091716011,0.051664109,0.082601095,-0.134239327,-0.003981548,-0.091604325,0.190544843,0.032885632,-0.092785186,-0.00293423,0.155745686,-0.054690096,-0.043371326,0.039189806,-0.063325745,-0.026547266,-0.072937174,0.031000299,-0.069089388,-0.028289812,-0.044042791,-0.051148744,-0.00031074
CC061cs,0.096125466,-0.104333599,0.077902035,0.203299915,0.024483587,-0.076619894,-0.056190444,-0.172544084,0.076047205,0.02562925,-0.076165886,-0.170018296,0.068751583,-0.032643148,0.064084131,0.259444986,0.077508497,-0.013529368,-0.145307631,-0.065982869,-0.126883239,0.160114406,-0.02742787,0.254096191,-0.279784089,0.078397435,0.028442992,-0.126121398,0.034452812,0.060218608,0.042029331,-0.054243572,0.203638998,0.120878895,-0.087439322,0.052459708,0.215917048,-0.014480227,0.011890214,-0.138037471,-0.130583047,0.013490072,-0.171603002,-0.359422302,0.183067376,-0.182676639,0.065279973,-0.072296346,-0.161412876,0.175889519,-0.099819733,0.107553426,0.029988319,0.122652398,0.025276341,-0.174658683,0.055856096,0.030734631,-0.104525242
CC065cs,-0.183427112,0.009208359,0.064810606,0.01017824,0.244008059,-0.222400931,-0.177576447,0.021472466,0.157888517,-0.179314947,0.145767825,0.037203998,0.150626097,0.000604692,-0.158910692,-0.043976139,0.097986835,-0.068462102,0.078539039,-0.045252631,0.04642614,-0.080891573,-0.200028138,-0.000845369,0.22166279,-0.023854115,-0.056204654,0.102905795,0.088886934,0.12122723,-0.043151148,0.037761572,-0.070495029,-0.210288294,-0.130929437,0.009563483,-0.063002645,0.124912027,-0.457648797,0.013111761,0.048226578,-0.033245935,-0.081746697,-0.202557044,-0.00177337,-0.171658232,0.161112264,0.025162009,-0.18823354,-0.102459301,-0.063240253,-0.029636126,-0.111481208,-0.007573811,0.040490586,0.103542372,0.035825233,-0.00635088,-0.225909748
